Player Name,Team Name,Total runs,Year,Matches Played,Innings,Not Outs,Highest Score,Average,Balls Faced,Strike Rate,0,50,100,4s,6s,Dream 11 Points,Reference,Role
R Tewatia,GT,188,2024,12,9,2,36*,26.85,129,145.73,0,0,0,24,5,224,R Tewatia,Batsman
JM Sharma,PBKS,187,2024,14,12,1,32*,17,142,131.69,1,0,0,9,12,220,JM Sharma,Batsman
SD Hope,DC,183,2024,9,9,1,41,22.87,122,150,0,0,0,12,12,221,SD Hope,Batsman
Abdul Samad,SRH,182,2024,16,12,2,37*,18.2,108,168.51,1,0,0,15,11,221,Abdul Samad,Batsman
DA Warner,DC,168,2024,8,8,0,52,21,125,134.4,0,1,0,17,10,215,DA Warner,Batsman
RK Singh,KKR,168,2024,15,11,2,26,18.66,113,148.67,0,0,0,13,8,199,RK Singh,Wicket Keeper
RA Tripathi,SRH,165,2024,6,6,0,55,27.5,115,143.47,0,1,0,18,6,205,RA Tripathi,Bowler
A Raghuvanshi,KKR,163,2024,10,7,0,54,23.28,105,155.23,0,1,0,16,8,207,A Raghuvanshi,All Rounder
MS Dhoni,CSK,161,2024,14,11,8,37*,53.66,73,220.54,1,0,0,14,13,205,MS Dhoni,Batsman
S Dhawan,PBKS,152,2024,5,5,0,70,30.4,121,125.61,0,1,0,18,4,186,S Dhawan,Batsman
DJ Hooda,LSG,145,2024,11,9,1,50,18.12,105,138.09,1,1,0,16,3,175,DJ Hooda,Batsman
Naman Dhir,MI,140,2024,7,7,1,62*,23.33,79,177.21,2,1,0,12,10,182,Naman Dhir,Batsman
WP Saha,GT,136,2024,9,9,0,39,15.11,115,118.26,0,0,0,18,3,160,WP Saha,Wicket Keeper
PJ Cummins,SRH,136,2024,16,10,4,35*,22.66,95,143.15,0,0,0,9,8,163,PJ Cummins,Bowler
KH Pandya,LSG,133,2024,14,12,8,43*,33.25,105,126.66,0,0,0,8,5,151,KH Pandya,All Rounder
MM Ali,CSK,128,2024,8,5,0,56,25.6,98,130.61,0,1,0,7,8,161,MM Ali,Batsman
M Shahrukh Khan,GT,127,2024,7,7,0,58,18.14,75,169.33,1,1,0,9,9,164,M Shahrukh Khan,Batsman
Ramandeep Singh,KKR,125,2024,15,9,5,35,31.25,62,201.61,0,0,0,5,12,160,Ramandeep Singh,Batsman
MK Lomror,RCB,125,2024,10,10,2,33,15.62,68,183.82,2,0,0,9,9,154,MK Lomror,Batsman
SO Hetmyer,RR,113,2024,12,9,4,27*,22.6,69,163.76,1,0,0,9,7,138,SO Hetmyer,Batsman
LS Livingstone,PBKS,111,2024,7,7,2,38*,22.2,78,142.3,1,0,0,8,7,133,LS Livingstone,Batsman
N Wadhera,MI,109,2024,6,6,0,49,18.16,84,129.76,0,0,0,9,6,130,N Wadhera,Batsman
R Powell,RR,103,2024,10,7,1,27,17.16,68,151.47,0,0,0,10,6,129,R Powell,Batsman
Rashid Khan,GT,102,2024,12,8,3,31,20.4,71,143.66,1,0,0,11,3,119,Rashid Khan,Bowler
