Player Name,Team Name,Span,Matches,Innings,Balls Bowled,Overs,Runs,Wickets,Best Bowling in Innings,Maidens,Bowling Average,Economy Rate,Strike Rate,4,5,Dream 11 Points,Player,Role
M Pathirana,CSK,2024,6,6,132,22,169,13,4/28,0,13,7.68,10.15,1,0,396,M Pathirana,Bowler
Sandeep Sharma,RR,2024,11,10,228,38,311,13,5/18,0,23.92,8.18,17.53,0,1,402,Sandeep Sharma,Bowler
PP Chawla,MI,2024,11,11,210,35,312,13,3/29,0,24,8.91,16.15,0,0,386,PP Chawla,Bowler
G Coetzee,MI,2024,10,10,201,33.3,341,13,4/34,0,26.23,10.17,15.46,1,0,392,G Coetzee,Bowler
MM Sharma,GT,2024,12,11,234,39,425,13,3/25,0,32.69,10.89,18,0,0,384,MM Sharma,Bowler
VG Arora,KKR,2024,10,10,180,30,276,11,3/27,0,25.09,9.2,16.36,0,0,324,VG Arora,Bowler
AR Patel,DC,2024,14,14,264,44,337,11,2/25,0,30.63,7.65,24,0,0,328,AR Patel,Batsman
K Rabada,PBKS,2024,11,11,252,42,372,11,2/18,0,33.81,8.85,22.9,0,0,326,K Rabada,Bowler
HH Pandya,MI,2024,14,12,216,36,387,11,3/31,0,35.18,10.75,19.63,0,0,324,HH Pandya,All Rounder
Yash Thakur,LSG,2024,10,10,213,35.3,402,11,5/30,1,36.54,11.32,19.36,0,1,352,Yash Thakur,Bowler
B Kumar,SRH,2024,16,16,342,57,533,11,3/41,2,48.45,9.35,31.09,0,0,348,B Kumar,Bowler
I Sharma,DC,2024,9,9,162,27,265,10,3/34,0,26.5,9.81,16.2,0,0,294,I Sharma,Bowler
RD Chahar,PBKS,2024,9,9,186,31,279,10,3/23,0,27.9,9,18.6,0,0,296,RD Chahar,Bowler
C Green,RCB,2024,13,13,211,35.1,303,10,2/12,0,30.3,8.61,21.1,0,0,296,C Green,Batsman
Rashid Khan,GT,2024,12,12,262,43.4,367,10,2/38,0,36.7,8.4,26.2,0,0,296,Rashid Khan,Bowler
Ravi Bishnoi,LSG,2024,14,14,262,43.4,383,10,2/25,0,38.3,8.77,26.2,0,0,296,Ravi Bishnoi,Bowler
Mohsin Khan,LSG,2024,10,10,228,38,385,10,2/29,0,38.5,10.13,22.8,0,0,294,Mohsin Khan,Bowler
LH Ferguson,RCB,2024,7,7,144,24,255,9,2/23,0,28.33,10.62,16,0,0,264,LH Ferguson,Bowler
Rasikh Salam,DC,2024,8,8,147,24.3,269,9,3/34,0,29.88,10.97,16.33,0,0,264,Rasikh Salam,Bowler
R Ashwin,RR,2024,15,14,330,55,467,9,3/24,0,51.88,8.49,36.66,0,0,266,R Ashwin,Bowler
UT Yadav,GT,2024,7,7,126,21,210,8,2/22,0,26.25,10,15.75,0,0,234,UT Yadav,Bowler
N Thushara,MI,2024,7,7,156,26,257,8,3/28,0,32.12,9.88,19.5,0,0,234,N Thushara,Bowler
M Markande,SRH,2024,7,7,132,22,259,8,2/26,0,32.37,11.77,16.5,0,0,234,M Markande,Bowler
Noor Ahmad,GT,2024,10,10,209,34.5,290,8,2/20,0,36.25,8.32,26.12,0,0,236,Noor Ahmad,Bowler
JD Unadkat,SRH,2024,11,11,187,31.1,319,8,3/30,0,39.87,10.23,23.37,0,0,234,JD Unadkat,Bowler
RA Jadeja,CSK,2024,14,14,282,47,369,8,3/18,0,46.12,7.85,35.25,0,0,238,RA Jadeja,All Rounder
MP Yadav,LSG,2024,4,4,73,12.1,85,7,3/14,0,12.14,6.98,10.42,0,0,210,MP Yadav,Bowler
R Sai Kishore,GT,2024,5,5,90,15,137,7,4/33,0,19.57,9.13,12.85,1,0,212,R Sai Kishore,Bowler
N Burger,RR,2024,6,5,102,17,145,7,2/29,0,20.71,8.52,14.57,0,0,206,N Burger,Bowler
KV Sharma,RCB,2024,9,9,144,24,254,7,2/29,0,36.28,10.58,20.57,0,0,204,KV Sharma,Bowler
Shahbaz Ahmed,SRH,2024,16,15,165,27.3,270,7,3/23,0,38.57,9.81,23.57,0,0,204,Shahbaz Ahmed,Batsman
A Nortje,DC,2024,6,6,132,22,294,7,3/59,0,42,13.36,18.85,0,0,204,A Nortje,Bowler
Harpreet Brar,PBKS,2024,13,13,228,38,303,7,2/13,0,43.28,7.97,32.57,0,0,208,Harpreet Brar,Bowler
S Sandeep Warrier,GT,2024,5,5,66,11,119,6,3/15,0,19.83,10.81,11,0,0,174,S Sandeep Warrier,Bowler
KR Sen,RR,2024,3,3,72,12,122,6,3/41,0,20.33,10.16,12,0,0,174,KR Sen,Bowler
GJ Maxwell,RCB,2024,10,6,96,16,129,6,2/23,0,21.5,8.06,16,0,0,176,GJ Maxwell,All Rounder
Swapnil Singh,RCB,2024,7,7,90,15,133,6,2/28,0,22.16,8.86,15,0,0,176,Swapnil Singh,Bowler
KH Pandya,LSG,2024,14,12,198,33,255,6,3/11,0,42.5,7.72,33,0,0,178,KH Pandya,All Rounder
Simarjeet Singh,CSK,2024,4,4,72,12,121,5,3/26,0,24.2,10.08,14.4,0,0,144,Simarjeet Singh,Bowler
DL Chahar,CSK,2024,8,8,141,23.3,202,5,2/28,0,40.4,8.59,28.2,0,0,146,DL Chahar,Bowler
A Madhwal,MI,2024,5,5,109,18.1,205,5,3/20,0,41,11.28,21.8,0,0,144,A Madhwal,Bowler
SN Thakur,CSK,2024,9,9,190,31.4,309,5,2/61,0,61.8,9.75,38,0,0,144,SN Thakur,Bowler
JB Little,GT,2024,1,1,24,4,45,4,4/45,0,11.25,11.25,6,1,0,122,JB Little,Bowler
MP Stoinis,LSG,2024,14,7,84,14,126,4,1/3,0,31.5,9,21,0,0,116,MP Stoinis,All Rounder
V Vyshak,RCB,2024,4,4,87,14.3,142,4,2/23,0,35.5,9.79,21.75,0,0,114,V Vyshak,Bowler
SH Johnson,GT,2024,5,5,96,16,151,4,2/25,0,37.75,9.43,24,0,0,114,SH Johnson,Bowler
RJW Topley,RCB,2024,4,4,90,15,168,4,2/27,0,42,11.2,22.5,0,0,114,RJW Topley,Bowler
Azmatullah Omarzai,GT,2024,7,7,126,21,186,4,2/27,0,46.5,8.85,31.5,0,0,116,Azmatullah Omarzai,Bowler
T Stubbs,DC,2024,14,2,12,2,15,3,2/11,0,5,7.5,4,0,0,88,T Stubbs,Batsman
DG Nalkande,GT,2024,3,3,29,4.5,45,3,2/21,0,15,9.31,9.66,0,0,84,DG Nalkande,Bowler
S Gopal,MI,2024,3,3,42,7,67,3,1/9,0,22.33,9.57,14,0,0,84,S Gopal,Bowler
LS Livingstone,PBKS,2024,7,4,72,12,84,3,2/19,0,28,7,24,0,0,90,LS Livingstone,Batsman
K Nitish Kumar Reddy,SRH,2024,13,7,79,13.1,153,3,2/17,0,51,11.62,26.33,0,0,84,K Nitish Kumar Reddy,Batsman
V Kaverappa,PBKS,2024,1,1,24,4,36,2,2/36,0,18,9,12,0,0,56,V Kaverappa,Bowler
KA Maharaj,RR,2024,2,2,36,6,39,2,2/23,0,19.5,6.5,18,0,0,60,KA Maharaj,Bowler
Abhishek Sharma,SRH,2024,16,4,42,7,51,2,2/24,0,25.5,7.28,21,0,0,58,Abhishek Sharma,Batsman
MJ Santner,CSK,2024,3,3,54,9,64,2,1/10,0,32,7.11,27,0,0,58,MJ Santner,All Rounder
MM Ali,CSK,2024,8,4,48,8,71,2,2/23,0,35.5,8.87,24,0,0,56,MM Ali,Batsman
WG Jacks,RCB,2024,8,5,54,9,100,2,1/23,0,50,11.11,27,0,0,54,WG Jacks,Batsman
Mohammad Nabi,MI,2024,7,6,74,12.2,109,2,1/16,0,54.5,8.83,37,0,0,56,Mohammad Nabi,All Rounder
A Kamboj,MI,2024,3,3,60,10,114,2,1/24,0,57,11.4,30,0,0,54,A Kamboj,Bowler
M Theekshana,CSK,2024,5,5,120,20,144,2,1/27,0,72,7.2,60,0,0,58,M Theekshana,Bowler
Shashank Singh,PBKS,2024,14,1,6,1,5,1,1/5,0,5,5,6,0,0,30,Shashank Singh,Batsman
S Dube,CSK,2024,14,1,6,1,14,1,1/14,0,14,14,6,0,0,30,S Dube,Batsman
A Mishra,LSG,2024,1,1,12,2,20,1,1/20,0,20,10,12,0,0,24,A Mishra,Bowler
NT Ellis,PBKS,2024,1,1,24,4,24,1,1/24,0,24,6,24,0,0,32,NT Ellis,Bowler
Yudhvir Singh,LSG,2024,2,2,24,4,52,1,1/24,0,52,13,24,0,0,24,Yudhvir Singh,Bowler
Akash Deep,RCB,2024,1,1,21,3.3,55,1,1/55,0,55,15.71,21,0,0,24,Akash Deep,Bowler
DJ Mitchell,CSK,2024,13,2,36,6,70,1,1/18,0,70,11.66,36,0,0,24,DJ Mitchell,Batsman
RJ Gleeson,CSK,2024,2,2,47,7.5,71,1,1/30,0,71,9.06,47,0,0,24,RJ Gleeson,Bowler
M Siddharth,LSG,2024,3,3,54,9,71,1,1/21,0,71,7.88,54,0,0,28,M Siddharth,Bowler
LB Williams,DC,2024,2,2,36,6,72,1,1/38,0,72,12,36,0,0,24,LB Williams,Batsman
Washington Sundar,SRH,2024,2,2,30,5,73,1,1/46,0,73,14.6,30,0,0,24,Washington Sundar,All Rounder
V Viyaskanth,SRH,2024,3,3,60,10,86,1,1/37,0,86,8.6,60,0,0,26,V Viyaskanth,Bowler
KT Maphaka,MI,2024,2,2,36,6,89,1,1/23,0,89,14.83,36,0,0,24,KT Maphaka,Bowler
L Wood,MI,2024,2,2,36,6,93,1,1/68,0,93,15.5,36,0,0,24,L Wood,Bowler
MR Marsh,DC,2024,4,3,48,8,103,1,1/37,0,103,12.87,48,0,0,24,MR Marsh,All Rounder
MJ Henry,LSG,2024,4,4,72,12,110,1,1/28,0,110,9.16,72,0,0,24,MJ Henry,Bowler
