Player Name,Team Name,Span,Matches,Innings,Balls Bowled,Overs,Runs,Wickets,Best Bowling in Innings,Maidens,Bowling Average,Economy Rate,Strike Rate,4,5
Shashank Singh,PBKS,2024,14,1,6,1.0,5,1,1/5,0,5.0,5.0,6.0,0,0
S Dube,CSK,2024,14,1,6,1.0,14,1,1/14,0,14.0,14.0,6.0,0,0
A Mishra,LSG,2024,1,1,12,2.0,20,1,1/20,0,20.0,10.0,12.0,0,0
NT Ellis,PBKS,2024,1,1,24,4.0,24,1,1/24,0,24.0,6.0,24.0,0,0
Yudhvir Singh,LSG,2024,2,2,24,4.0,52,1,1/24,0,52.0,13.0,24.0,0,0
Akash Deep,RCB,2024,1,1,21,3.3,55,1,1/55,0,55.0,15.71,21.0,0,0
DJ Mitchell,CSK,2024,13,2,36,6.0,70,1,1/18,0,70.0,11.66,36.0,0,0
RJ Gleeson,CSK,2024,2,2,47,7.5,71,1,1/30,0,71.0,9.06,47.0,0,0
M Siddharth,LSG,2024,3,3,54,9.0,71,1,1/21,0,71.0,7.88,54.0,0,0
LB Williams,DC,2024,2,2,36,6.0,72,1,1/38,0,72.0,12.0,36.0,0,0
Washington Sundar,SRH,2024,2,2,30,5.0,73,1,1/46,0,73.0,14.6,30.0,0,0
V Viyaskanth,SRH,2024,3,3,60,10.0,86,1,1/37,0,86.0,8.6,60.0,0,0
KT Maphaka,MI,2024,2,2,36,6.0,89,1,1/23,0,89.0,14.83,36.0,0,0
L Wood,MI,2024,2,2,36,6.0,93,1,1/68,0,93.0,15.5,36.0,0,0
MR Marsh,DC,2024,4,3,48,8.0,103,1,1/37,0,103.0,12.87,48.0,0,0
MJ Henry,LSG,2024,4,4,72,12.0,110,1,1/28,0,110.0,9.16,72.0,0,0
